id,person_id,place_id,earliest_attested_day,earliest_attested_year,earliest_attested_month,latest_attested_day,latest_attested_year,latest_attested_month,role,hypothesized,resident,source,movement_notes
1428,372,1,,1598,,,1599,,Ambassador,false,false,"<p>Canestrini, Lettere di Giovanni Bandini al Cardinal Pietro Aldobrandini, pp. 409-460</p>",<p>He moved to Paris as ambassador of the Cardinal Pietro Aldobrandini</p>
1233,154,159,1597-06-21,1597,6,1600-09-09,1600,9,Bishop,false,false,"<p>DBI, ad vocem.</p>","<p>1597: He arrived in his episcopal see.</p>
<p>1600: He went to Rome.</p>"
1012,72,124,,1596,,,,,Merchant,false,true,"<p>Picot, Les italiens en France, p. 107</p>",<p>He was one of the last merchants of the Florentine nation to still have business in Lyon.</p>
1128,75,124,,1596,,,,,Merchant,false,true,"Picot, Les italiens en France, p. 107",<p>He was one of the last merchants of the Florentine nation to still have business in Lyon.</p>
1261,72,124,,1593,,,1595,,Merchant,true,true,,
1441,368,170,,1593,,,,,Military leader,false,false,"<p>DBI, Bandini Pierantonio</p>
<p>Dubost, La France italienne, pp. 64 e 491</p>",<p>Death</p>
1279,75,124,,1593,,,1595,,,true,true,,
1127,75,124,,1592,11,,,,Banker,false,true,"Picot, Les italiens en France, p. 107 e 123",<p>He was the manager of the Capponi's company.</p>
1011,72,124,,1592,11,,,,Merchant,false,true,"<p>Picot, Les italiens en France, pp. 107 e 123.</p>",<p>He had business with Niccol&ograve; Capponi.</p>
1422,365,1,,1589,,,1597,,Merchant,false,true,"<p>1589-1596: DBI, Bandini Pierantonio - 1597: Dubost, La France italienne, pp. 434, 491</p>","<p>Due to his debts with the Duke of Epemon, he was confined to prison. He was released in 1596, after seven years in prison. He died in 1597</p>"
1637,153,1,,1589,,,1590,,Scholar,true,true,,
1343,293,124,,1588,,,,,Merchant,false,true,"<p>Focarile, I Mannelli di Firenze (phd thesis), p. 76.</p>",<p>Mannelli's bank failure.</p>
1294,173,164,,1588,7,,,,Clergyman,false,true,"<p>DBI, ad vocem.</p>",<p>He died in the castle of Auriol.</p>
1083,79,1,,1588,,,,,Lady-in-waiting to Catherine de' Medici,false,true,"Dubost, La France italienne, p. 195 e 412",<p>She lived in Paris.</p>
1489,465,124,,1588,,,,,Consul of the Florentine Nation in Lyon,false,true,"<p>Charpin Feugerolles, Les Florentines &agrave; Lyon, pp. 32-37.</p>",<p>He was Consul of the Florentine nation in Lyon.</p>
1326,86,1,1588-02-25,1588,2,,,,Courtesan,false,true,"<p>DBI, Ad vocem.</p>",<p>He sent a letter to Lorenzo Giacomini.</p>
1633,153,1,1588-02-08,1588,2,,,,Scholar,false,true,"<p>Calderini De Marchi, Jacopo Corbinelli, p. 85</p>",<p>Ugolino Martelli sent a letter to him.</p>
1528,552,177,,1587,,,,,Merchant,false,true,"<p>Picot, Les italiens en France, pp. 95-96</p>",<p>Death.</p>
1414,345,124,1586-06-02,1586,6,,,,Merchant,false,false,"<p>SNSPi, Archivio Salviati, Il Diplomatico, Filze 1, XXVI, num. 465</p>",<p>Bill of exchange sent from Piero Giovannini of Florence to Zenobi Giovannini in Lyon</p>
1526,551,177,,1586,,,,,Merchant,false,true,"<p>Picot, Les italiens en France, pp. 95-96</p>",<p>Death.</p>
1344,293,124,,1586,,,1587,,Merchant,true,true,,
1278,75,124,,1585,,,1591,,,true,true,,
1493,467,124,,1585,,,,,Consul of the Florentine Nation in Lyon,false,true,"<p>Charpin Feugerolles, Les florentines &agrave; Lyon, p. 178</p>",<p>He was Consul of the Florentine nation in Lyon.</p>
1423,366,124,,1585,,,,,Banker,false,false,"<p>DBI, Bandini Pierantonio</p>",<p>His bank branch in France has failed</p>
1427,365,1,1585-10-14,1585,10,,,,Merchant,false,true,"<p>Dubost, La France italienne, p. 232, 434</p>",<p>He made a business with the trade of salt. In the same year (1585) he's appointed Gentleman of the King's bedchamber.</p>
1345,295,124,,1585,,,,,Marriage,false,true,"<p>Focarile, I Mannelli di Firenze (phd thesis), p. 77.</p>",<p>She married Francesco di Niccol&ograve; Mannelli.</p>
1341,293,124,,1585,,,,,Merchant,false,true,"<p>Focarile, I Mannelli di Firenze, (phd thesis), p. 77.</p>",<p>He married Cassandra Capponi.</p>
