id,full_name,naturalized_or_spousal_surname,pseudonym,Genre,profession_or_qualification,additional_notes
376,Mannucci Pietro,,,Male,Musician,
379,Corso Gian Battista,,,Male,Military leader,<p>He was a soldier in the service of Leone Strozzi</p>
381,Gazzetti Antonio,,,Male,Courtesan,"<p>He was an agent of Filippo Strozzi, but he was imprisoned in Florence. Then he was released by the Duke Cosimo I and became an agent of the Medici family&nbsp;</p>"
439,Bandini Francesco,,,Male,Merchant,<p>Son of Pierantonio Bandini</p>
461,Mannelli Claudio,Mannelly Claude,Mannegli Claudio,Male,Military leader,
550,Del Bene Tommaso di Riccardo,d'Elbène Thomas,,Male,Merchant,
555,Strozzi Roberto,Strossy Robert,,Male,Merchant; banker,<p>Filippo Strozzi's son.</p>
558,Lanfredini Giovanni,,,Male,Merchant,
566,Girolami Raffaello,,Girolami Raffaele,Male,Soldier,<p>Bernardo Girolami's nephew.</p>
551,Del Bene Riccardo di Riccardo,d'Elbène Richard,,Male,Jurist,
553,Del Bene Renato,d'Elbène René,,Male,Clergyman,
466,Gondi Antonio,,,Male,Merchant,
343,Martelli Jacopo ,,Martelli Iacopo,Male,Merchant,
570,Capponi Antonio,Capon Antoine,,Male,Soldier,
556,Ridolfi Benvenuto,,,Male,Merchant,
559,Bandini Cornelio,,,Male,Merchant,
567,Venturi Roberto,,,Male,Soldier,
552,Del Bene Raoul,d'Elbène Raoul,,Male,Merchant,
560,Rossi Roberto de',,,Male,Merchant,
557,Ridolfi Lorenzo,,,Male,Merchant,
554,Del Bene Nanocio,,,Male,Artist,
561,Pazzi Francesco de',,Pazzi Ceccone de',Male,Military leader,
365,Bandini Mario,,,Male,Merchant,<p>Son of Pierantonio Bandini</p>
323,Doni Raffaello,,,Male,Merchant,
428,Panciatichi Girolamo,,,Male,Merchant,
467,Scarlattini Alessandro,,,Male,Merchant,
564,Medici Laudomia de',,Medici Strozzi Laudomia,Female,,<p>Piero Strozzi's wife</p>
322,Pandolfi Bernardo,,,Male,Merchant,
320,Pitti Alessandro,Pithy Alexandre,Pitti Giambattista,Male,Merchant,
468,Valdini Francesco,,,Male,Merchant,
315,Gigli Girolamo,,,Male,Merchant,
562,Nobili Ludovico de',,,Male,Soldier,
569,Tosinghi Pietro Paolo,,,Male,Military leader,
316,Mannelli Filippo,Mannelly Philippe,Mannegli Filippo,Male,Merchant,<p>Brother of Piero and Ippolito Mannelli</p>
563,Niccolini Bernardo di Donato,,Spagnoletto Niccolini,Male,Soldier,
341,Strozzi Lorenzo di Filippo,Strossy Laurence,,Male,Clergyman,<p>Son of Filippo Strozzi</p>
463,Mazi Neri,,,Male,Merchant,
440,Corbinelli Bernardo,,,Male,Soldier,<p>Jacopo Corbinelli's brother.</p>
464,Nardi Francesco,,,Male,Merchant,
482,Mannelli Zanobi,,,Male,Merchant,<p>Known in Lyon as The Rich.</p>
429,Ridolfi Lucantonio,,,Male,Scholar,
325,Bandini Pier Antonio ,,,Male,Merchant; banker,
350,Salviati Averardo di Filippo,Salviati Averard,,Male,Merchant,<p>Brother of Antonio Salviati</p>
571,Sernigi ?,,,Male,Military leader,
485,Del Bene Niccolò di Ricciardo,d'Elbène Nicolas,,Male,Soldier,
328,Dell'Ancisa Niccolò,,,Male,Merchant,
565,Taddei Vincenzo,,Thaddei Vincenzio,Male,Soldier,
486,Del Bene Bernardo,d'Elbène Bernard,,Male,Clergyman,<p>Brother of Albizzo Del Bene.</p>
368,Bandini ?,,,Male,Military leader,<p>Son of Pierantonio Bandini and brother of Mario Bandini. Colonel in the French army.</p>
326,Barbigia Bernardo,Barbise Bernard,Barbigi Bernardo o Del Barbigia Bernardo,Male,Merchant,<p>Agent of Lucrezia Cavalcanti-Del Bene</p>
572,Guadagni Piero,Gadagne Pierre,,Male,Clergyman,
327,Barbigia Domenico,,Barbigi Domenico o Del Barbigia Domenico,Male,Merchant,
487,Del Bene Alberto,d'Elbène Albert,,Male,Courtesan,<p>Brother of Albizzo Del Bene.</p>
394,Martelli Bartolomeo,,Martelli Baccio,Male,Military leader,
395,Strozzi Clarice,,,Female,,<p>Daughter of Piero Strozzi</p>
574,Orsini Troilo,,,Male,Soldier,
329,Salviati Antonio,Salviaty Antoine,,Male,Merchant,
317,Mannelli Ippolito,Mannelly Hyppolite,Mannegli Ippolito,Male,Merchant,<p>Brother of Piero Mannelli</p>
344,Galilei Bartolomeo ,,,Male,Merchant,
372,Bandini Giovanni ,,,Male,Clergyman,<p>Son of Pierantonio Bandini</p>
396,Strozzi Filippo di Piero,Strossy Philippe,,Male,Courtesan,
340,Rucellai Camillo ,,,Male,Merchant,
462,Bini Simone,Bigni Simon,,Male,Messenger,
324,Salviati Filippo,Salviaty Philippe,,Male,Merchant,<p>Son fo Averardo Salviati</p>
481,Bernardini Bernardo,,,Male,Courier,
382,Gondi Maria Caterina,Pietraviva o Pierrevive Marie Catherine,,Female,Courtesan,<p>Her maiden name was Marie Catherine de Pierrevive (Piedmontese). Wife of Guidobaldo or Antonio Gondi and nurse of Catherine de' Medici.</p>
342,Strozzi Alfonso,Strossy Alphonse,,Male,Merchant,
